DE,Port sampling No 64 Lat,2018,Norwegian coastal fleet, No 64 Lat, landing fresh / unconserved whitefish,Y,5
VD,2d:2d:2d:2d:2d:42:45:47:49:4e:20:50:47:50:20:4d:45:53:53:41:47:45:2d:2d:2d:2d:2d:0a:0a:68:51:45:4d:41:38:73:56:69:4a:43:59:6b:6c:61:57:41:51:66:2f:59:76:5a:61:4a:62:77:42:5a:6d:73:78:66:4e:77:6c:66:67:71:6d:59:70:57:50:69:49:32:30:48:6b:65:49:45:71:52:56:70:68:51:76:65:5a:6e:79:0a:4d:77:6c:45:36:43:6d:6e:46:7a:46:6e:68:4c:43:63:77:68:65:6b:47:73:57:67:39:59:58:44:4f:72:35:47:35:59:47:76:56:78:48:45:65:67:2b:68:61:73:55:48:43:45:61:30:45:45:70:63:34:43:72:66:7a:69:7a:54:0a:35:4f:2b:6f:43:74:53:48:72:51:4b:76:45:36:51:4e:41:39:55:70:55:2f:4e:70:79:54:32:2f:47:58:72:6a:41:41:79:67:4f:39:75:37:33:35:38:57:64:74:32:35:51:4b:36:70:7a:73:7a:6b:68:44:43:56:66:65:74:36:0a:66:35:63:79:76:62:51:4b:6d:66:74:34:4d:78:4e:37:79:5a:42:79:2f:58:4c:39:6d:78:43:37:78:78:64:68:55:4d:38:79:54:4e:62:4d:45:48:4e:62:32:41:73:6c:63:75:46:67:49:34:6d:48:74:78:56:72:53:58:4a:41:0a:6b:4b:4b:43:76:49:69:33:61:75:31:4d:56:48:61:46:4d:41:56:75:41:6b:6c:6b:70:2f:44:36:37:73:4f:72:50:2f:4b:57:65:48:76:2f:61:45:76:57:32:69:42:75:43:34:52:62:5a:76:53:78:59:33:5a:4c:66:65:53:76:0a:72:56:39:4f:79:65:46:65:49:75:72:51:59:37:48:79:47:54:71:55:34:31:71:67:6b:4b:37:6f:48:6f:6b:37:4c:50:51:4f:77:77:47:77:4a:39:4a:44:41:62:75:53:52:31:64:6b:52:4b:7a:71:35:69:63:37:4a:34:42:4a:0a:6f:57:78:42:42:4f:79:56:4c:49:41:72:63:58:52:61:39:4d:6f:47:46:64:74:57:53:68:56:32:76:6c:45:41:7a:59:78:64:77:43:51:73:67:71:49:7a:63:33:4f:42:41:50:33:5a:32:50:35:68:75:44:30:31:32:61:2b:47:0a:4c:78:62:56:4c:41:3d:3d:0a:3d:4a:41:2f:35:0a:2d:2d:2d:2d:2d:45:4e:44:20:50:47:50:20:4d:45:53:53:41:47:45:2d:2d:2d:2d:2d:0a,,,,,,,,
LE,Yes,1,,Longline,No,U,Observer,N,Lan,,,NO,2018-01-18,,,27.2.a.2,67G5,,,,LLS_DEF,,LLS,,,,DEF,,2,,NPEJ,,,,,,
SS,No,,Lan,vol,U,No,U,Self-Sampling,whitefish,1,1,CENSUS,,,,,
SL,Cod,2018,126436,COD,Lan
SL,Saithe,2018,126441,POK,Lan
SL,Haddock,2018,126437,HAD,Lan
SA,,No,U,126436,,Whole,Lan,,,,U,Basket,402000,106310,162060,3.781394,2.480563,1,,NPEJ,C,Self-Sampling,,,,,1,
BV,1,No,U,Length,760,mm,A,,,30,30,,SRSWOR,Observer
BV,1,No,U,Age,6,Year,A,Otolith,,30,30,,SRSWOR,Observer
BV,1,No,U,Weight,3960,g,A,,,30,30,,SRSWOR,Observer
BV,1,No,U,Sex,F,,A,,,30,30,,SRSWOR,Observer
BV,2,No,U,Length,690,mm,A,,,30,30,,SRSWOR,Observer
BV,2,No,U,Age,6,Year,A,Otolith,,30,30,,SRSWOR,Observer
BV,2,No,U,Weight,3210,g,A,,,30,30,,SRSWOR,Observer
BV,2,No,U,Sex,M,,A,,,30,30,,SRSWOR,Observer
